station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address,source
8th & Ash,49.264215,-123.117772,Sushi California,,,Sushi Restaurant,,,396.0,388 Broadway W,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Cooper's Park,,,Dog Park,,,299.0,1020 Marinaside Cres,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Mahony & Sons,,,Irish Pub,,,325.0,610 Stamp's Landng,FourSquare
Spyglass & Seawall,49.270877,-123.115103,OEB Breakfast Co,,,Dining and Drinking,,,418.0,1137 Marinaside Cres,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Provence Marinaside,,,French Restaurant,,,419.0,1177 Marinaside Cres,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Nook,,,Italian Restaurant,,,448.0,195 2nd Ave W,FourSquare
Spyglass & Seawall,49.270877,-123.115103,La Terrazza,,,Italian Restaurant,,,520.0,1088 Cambie St,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Honey Salt,,,Restaurant,,,504.0,39 Smithe St,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Passione Gelato,,,Gelato Shop,,,556.0,55 Smithe St,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Legacy Liquor Store,,,Beer Store,,,589.0,1633 Manitoba St,FourSquare
Spyglass & Seawall,49.270877,-123.115103,Terra Breads,,,Bakery,,,590.0,1605 Manitoba St,FourSquare
Stamps Landing,49.26893,-123.11813,Mahony & Sons,,,Irish Pub,,,41.0,610 Stamp's Landng,FourSquare
Stamps Landing,49.26893,-123.11813,Caffe Cittadella,,,Coffee Shop,,,474.0,2310 Ash St,FourSquare
Stamps Landing,49.26893,-123.11813,OEB Breakfast Co,,,Dining and Drinking,,,502.0,1137 Marinaside Cres,FourSquare
Stamps Landing,49.26893,-123.11813,Charleson Park,,,Park,,,519.0,999 Charleson St,FourSquare
Stamps Landing,49.26893,-123.11813,Provence Marinaside,,,French Restaurant,,,499.0,1177 Marinaside Cres,FourSquare
Stamps Landing,49.26893,-123.11813,David Lam Park,,,Park,,,588.0,1300 Pacific Blvd,FourSquare
Stamps Landing,49.26893,-123.11813,Cooper's Park,,,Dog Park,,,585.0,1020 Marinaside Cres,FourSquare
Stamps Landing,49.26893,-123.11813,Whole Foods,,,Retail,,,591.0,510 8th Ave W,FourSquare
Stamps Landing,49.26893,-123.11813,Roundhouse Community Arts & Recreation Centre,,,Community Center,,,562.0,181 Roundhouse Mews,FourSquare
Stamps Landing,49.26893,-123.11813,The Beaumont Studios,,,Art Gallery,,,579.0,316W 5th Ave W,FourSquare
Ontario & Seawall,49.271721,-123.104207,Seaside Seawall,,,Hiking Trail,,,74.0,Quebec St,FourSquare
Ontario & Seawall,49.271721,-123.104207,Gusto a Taste of Italy,,,Bistro,,,127.0,1610 Salt St,FourSquare
Ontario & Seawall,49.271721,-123.104207,Terra Breads,,,Bakery,,,205.0,1605 Manitoba St,FourSquare
Ontario & Seawall,49.271721,-123.104207,Legacy Liquor Store,,,Beer Store,,,208.0,1633 Manitoba St,FourSquare
Ontario & Seawall,49.271721,-123.104207,CRAFT Beer Market Vancouver,,,Beer Garden,,,205.0,85 1st Ave W,FourSquare
Ontario & Seawall,49.271721,-123.104207,Amato Gelato Cafe,,,Ice Cream Parlor,,,203.0,78 1st Ave E,FourSquare
Ontario & Seawall,49.271721,-123.104207,Earnest Ice Cream,,,Ice Cream Parlor,,,330.0,1829 Quebec St,FourSquare
Ontario & Seawall,49.271721,-123.104207,Creekside Park,,,Restaurant,,,332.0,1455 Quebec St,FourSquare
